observer,genotype,time_off_food_min,bends,additive,food,date,plate
JB,cest-1.2,5,4,,OP50,6/25/2021,15
JB,cest-1.2,5,5,,OP50,6/25/2021,15
JB,cest-1.2,5,3,,OP50,6/25/2021,15
JB,cest-1.2,5,3,,OP50,6/25/2021,15
JB,cest-1.2,5,4,,OP50,6/25/2021,15
JB,cest-1.2,5,2,,OP50,6/25/2021,15
JB,cest-1.2,5,3,,OP50,6/25/2021,15
JB,cest-1.2,5,4,,OP50,6/25/2021,15
JB,cest-1.2,5,4,,OP50,6/25/2021,15
JB,cest-1.2,5,3,,OP50,6/25/2021,16
JB,cest-1.2,5,7,,OP50,6/25/2021,16
JB,cest-1.2,5,4,,OP50,6/25/2021,16
JB,cest-1.2,5,4,,OP50,6/25/2021,16
JB,cest-1.2,5,4,,OP50,6/25/2021,16
JB,cest-1.2,5,2,,OP50,6/25/2021,16
JB,cest-1.2,5,6,,OP50,6/25/2021,16
JB,cest-1.2,5,3,,OP50,6/25/2021,16
JB,cest-1.2,5,4,,OP50,6/25/2021,16
JB,cest-1.2,5,7,,OP50,6/25/2021,16
JB,N2,5,3,,OP50,6/25/2021,17
JB,N2,5,4,,OP50,6/25/2021,17
JB,N2,5,3,,OP50,6/25/2021,17
JB,N2,5,5,,OP50,6/25/2021,17
JB,N2,5,6,,OP50,6/25/2021,17
JB,N2,5,8,,OP50,6/25/2021,17
JB,N2,5,3,,OP50,6/25/2021,17
JB,N2,5,4,,OP50,6/25/2021,17
JB,N2,5,4,,OP50,6/25/2021,17
JB,N2,5,3,,OP50,6/25/2021,17
JB,N2,5,4,,OP50,6/25/2021,18
JB,N2,5,5,,OP50,6/25/2021,18
JB,N2,5,7,,OP50,6/25/2021,18
JB,N2,5,4,,OP50,6/25/2021,18
JB,N2,5,3,,OP50,6/25/2021,18
JB,N2,5,5,,OP50,6/25/2021,18
JB,N2,5,5,,OP50,6/25/2021,18
JB,N2,5,5,,OP50,6/25/2021,18
JB,N2,5,5,,OP50,6/25/2021,18
JB,N2,5,6,,OP50,6/25/2021,18
JB,N2,5,3,,OP50,7/8/2021,43
JB,N2,5,4,,OP50,7/8/2021,43
JB,N2,5,2,,OP50,7/8/2021,43
JB,N2,5,4,,OP50,7/8/2021,43
JB,N2,5,2,,OP50,7/8/2021,43
JB,N2,5,4,,OP50,7/8/2021,43
JB,N2,5,4,,OP50,7/8/2021,43
JB,N2,5,2,,OP50,7/8/2021,43
JB,N2,5,5,,OP50,7/8/2021,43
JB,N2,5,5,,OP50,7/8/2021,43
JB,N2,5,4,,OP50,7/8/2021,44
JB,N2,5,6,,OP50,7/8/2021,44
JB,N2,5,3,,OP50,7/8/2021,44
JB,N2,5,3,,OP50,7/8/2021,44
JB,N2,5,3,,OP50,7/8/2021,44
JB,N2,5,1,,OP50,7/8/2021,44
JB,N2,5,4,,OP50,7/8/2021,44
JB,N2,5,3,,OP50,7/8/2021,44
JB,N2,5,2,,OP50,7/8/2021,44
JB,N2,5,3,,OP50,7/8/2021,44
JB,cest-1.2,5,3,,OP50,7/8/2021,47
JB,cest-1.2,5,5,,OP50,7/8/2021,47
JB,cest-1.2,5,2,,OP50,7/8/2021,47
JB,cest-1.2,5,2,,OP50,7/8/2021,47
JB,cest-1.2,5,5,,OP50,7/8/2021,47
JB,cest-1.2,5,4,,OP50,7/8/2021,47
JB,cest-1.2,5,4,,OP50,7/8/2021,47
