observer,genotype,time_off_food_min,bends,additive,food,date,plate
JB,N2,5,3,NA,OP50,6/25/2021,18
JB,N2,5,5,NA,OP50,6/25/2021,18
JB,N2,5,5,NA,OP50,6/25/2021,18
JB,N2,5,5,NA,OP50,6/25/2021,18
JB,N2,5,5,NA,OP50,6/25/2021,18
JB,N2,5,6,NA,OP50,6/25/2021,18
JB,N2,5,3,NA,OP50,7/8/2021,43
JB,N2,5,4,NA,OP50,7/8/2021,43
JB,N2,5,2,NA,OP50,7/8/2021,43
JB,N2,5,4,NA,OP50,7/8/2021,43
JB,N2,5,2,NA,OP50,7/8/2021,43
JB,N2,5,4,NA,OP50,7/8/2021,43
JB,N2,5,4,NA,OP50,7/8/2021,43
JB,N2,5,2,NA,OP50,7/8/2021,43
JB,N2,5,5,NA,OP50,7/8/2021,43
JB,N2,5,5,NA,OP50,7/8/2021,43
JB,N2,5,4,NA,OP50,7/8/2021,44
JB,N2,5,6,NA,OP50,7/8/2021,44
JB,N2,5,3,NA,OP50,7/8/2021,44
JB,N2,5,3,NA,OP50,7/8/2021,44
JB,N2,5,3,NA,OP50,7/8/2021,44
JB,N2,5,1,NA,OP50,7/8/2021,44
JB,N2,5,4,NA,OP50,7/8/2021,44
JB,N2,5,3,NA,OP50,7/8/2021,44
JB,N2,5,2,NA,OP50,7/8/2021,44
JB,N2,5,3,NA,OP50,7/8/2021,44
JB,cest-1.2,5,3,NA,OP50,7/8/2021,47
JB,cest-1.2,5,5,NA,OP50,7/8/2021,47
JB,cest-1.2,5,2,NA,OP50,7/8/2021,47
JB,cest-1.2,5,2,NA,OP50,7/8/2021,47
JB,cest-1.2,5,5,NA,OP50,7/8/2021,47
JB,cest-1.2,5,4,NA,OP50,7/8/2021,47
JB,cest-1.2,5,4,NA,OP50,7/8/2021,47
JB,cest-1.2,5,5,NA,OP50,7/8/2021,47
JB,cest-1.2,5,2,NA,OP50,7/8/2021,47
JB,cest-1.2,5,2,NA,OP50,7/8/2021,47
JB,cest-1.2,5,4,NA,OP50,7/8/2021,48
JB,cest-1.2,5,4,NA,OP50,7/8/2021,48
JB,cest-1.2,5,5,NA,OP50,7/8/2021,48
JB,cest-1.2,5,3,NA,OP50,7/8/2021,48
JB,cest-1.2,5,3,NA,OP50,7/8/2021,48
JB,cest-1.2,5,4,NA,OP50,7/8/2021,48
JB,cest-1.2,5,3,NA,OP50,7/8/2021,48
JB,cest-1.2,5,4,NA,OP50,7/8/2021,48
JB,cest-1.2,5,5,NA,OP50,7/8/2021,48
JB,cest-1.2,5,5,NA,OP50,7/8/2021,48
JB,N2,5,3,NA,OP50,7/14/2021,65
JB,N2,5,4,NA,OP50,7/14/2021,65
JB,N2,5,2,NA,OP50,7/14/2021,65
JB,N2,5,4,NA,OP50,7/14/2021,65
JB,N2,5,4,NA,OP50,7/14/2021,65
JB,N2,5,7,NA,OP50,7/14/2021,65
JB,N2,5,5,NA,OP50,7/14/2021,65
JB,N2,5,3,NA,OP50,7/14/2021,65
JB,N2,5,3,NA,OP50,7/14/2021,65
JB,N2,5,3,NA,OP50,7/14/2021,65
JB,N2,5,3,NA,OP50,7/14/2021,66
JB,N2,5,3,NA,OP50,7/14/2021,66
JB,N2,5,4,NA,OP50,7/14/2021,66
JB,N2,5,4,NA,OP50,7/14/2021,66
JB,N2,5,4,NA,OP50,7/14/2021,66
JB,N2,5,3,NA,OP50,7/14/2021,66
JB,N2,5,7,NA,OP50,7/14/2021,66
JB,N2,5,5,NA,OP50,7/14/2021,66
JB,N2,5,2,NA,OP50,7/14/2021,66
JB,cest-1.2,5,4,NA,OP50,7/14/2021,67
JB,cest-1.2,5,2,NA,OP50,7/14/2021,67
JB,cest-1.2,5,4,NA,OP50,7/14/2021,67
JB,cest-1.2,5,2,NA,OP50,7/14/2021,67
JB,cest-1.2,5,3,NA,OP50,7/14/2021,67
JB,cest-1.2,5,5,NA,OP50,7/14/2021,67
JB,cest-1.2,5,3,NA,OP50,7/14/2021,67
JB,cest-1.2,5,4,NA,OP50,7/14/2021,67
JB,cest-1.2,5,3,NA,OP50,7/14/2021,67
JB,cest-1.2,5,7,NA,OP50,7/14/2021,67
JB,cest-1.2,5,2,NA,OP50,7/14/2021,68
JB,cest-1.2,5,2,NA,OP50,7/14/2021,68
JB,cest-1.2,5,3,NA,OP50,7/14/2021,68
JB,cest-1.2,5,3,NA,OP50,7/14/2021,68
JB,cest-1.2,5,2,NA,OP50,7/14/2021,68
JB,cest-1.2,5,3,NA,OP50,7/14/2021,68
JB,cest-1.2,5,4,NA,OP50,7/14/2021,68
JB,cest-1.2,5,2,NA,OP50,7/14/2021,68
JB,cest-1.2,5,2,NA,OP50,7/14/2021,68
JB,N2,5,4,NA,OP50,7/23/2021,77
JB,N2,5,3,NA,OP50,7/23/2021,77
JB,N2,5,7,NA,OP50,7/23/2021,77
JB,N2,5,2,NA,OP50,7/23/2021,77
JB,N2,5,4,NA,OP50,7/23/2021,77
JB,N2,5,6,NA,OP50,7/23/2021,77
JB,N2,5,3,NA,OP50,7/23/2021,77
JB,N2,5,3,NA,OP50,7/23/2021,77
JB,N2,5,4,NA,OP50,7/23/2021,77
JB,N2,5,5,NA,OP50,7/23/2021,77
JB,N2,5,3,NA,OP50,7/23/2021,77
JB,cest-1.2,5,2,NA,OP50,7/23/2021,79
JB,cest-1.2,5,2,NA,OP50,7/23/2021,79
JB,cest-1.2,5,4,NA,OP50,7/23/2021,79
JB,cest-1.2,5,4,NA,OP50,7/23/2021,79
JB,cest-1.2,5,3,NA,OP50,7/23/2021,79
JB,cest-1.2,5,3,NA,OP50,7/23/2021,79
JB,cest-1.2,5,4,NA,OP50,7/23/2021,79
JB,cest-1.2,5,2,NA,OP50,7/23/2021,79
JB,cest-1.2,5,3,NA,OP50,7/23/2021,79
JB,cest-1.2,5,4,NA,OP50,7/23/2021,79
JB,cest-1.2,5,4,NA,OP50,7/23/2021,80
JB,cest-1.2,5,1,NA,OP50,7/23/2021,80
JB,cest-1.2,5,3,NA,OP50,7/23/2021,80
JB,cest-1.2,5,4,NA,OP50,7/23/2021,80
JB,cest-1.2,5,3,NA,OP50,7/23/2021,80
JB,cest-1.2,5,3,NA,OP50,7/23/2021,80
JB,cest-1.2,5,5,NA,OP50,7/23/2021,80
JB,cest-1.2,5,5,NA,OP50,7/23/2021,80
